Component;Path;Div Count;Ghosts Detected;Action Priority
UniversalHeader.Button;components/ui/universal-header/UniversalHeader.Button.jsx;0;Net;Baixa
UniversalHeader.Logo;components/ui/universal-header/UniversalHeader.Logo.jsx;0;Net;Baixa
index;components/ui/universal-header/index.jsx;0;hardcodedColors (1x);Alta
LayoutContext;contexts/LayoutContext.jsx;0;Net;Baixa
EventOrchestrator;core/EventOrchestrator.jsx;0;Net;Baixa
ArchitectureHealthProvider;core/internals/ArchitectureHealthProvider.jsx;0;Net;Baixa
ArchitectureShell;core/internals/ArchitectureShell.jsx;0;Net;Baixa
universal-test;dev/universal-test.jsx;0;Net;Baixa
main;main.jsx;0;Net;Baixa
UniversalPage;pages/UniversalPage.jsx;0;Net;Baixa
Versions;pages/admin/Versions.jsx;0;Net;Baixa
Map;pages/community/Map.jsx;0;Net;Baixa
MasterCalendar;pages/community/MasterCalendar.jsx;0;Net;Baixa
DesignSystem;pages/features/DesignSystem.jsx;0;Net;Baixa
MediaManager;pages/features/MediaManager.jsx;0;Net;Baixa
UniversalPage;pages/public/UniversalPage.jsx;0;Net;Baixa
UniversalPage.legacy;pages/public/UniversalPage.legacy.jsx;0;Net;Baixa
PageEditStoreProvider;stores/PageEditStoreProvider.jsx;0;Net;Baixa
PageUIStoreProvider;stores/PageUIStoreProvider.jsx;0;Net;Baixa
ViewportManager;system/ViewportManager.jsx;0;Net;Baixa
